   0.00000000     -0.800934911    
   2.00000009E-03 -0.800808370    
   4.00000019E-03 -0.800555527    
   6.00000005E-03 -0.800176144    
   8.00000038E-03 -0.799670517    
   1.00000007E-02 -0.799038589    
   1.20000010E-02 -0.798279941    
   1.40000014E-02 -0.797395766    
   1.60000008E-02 -0.796385646    
   1.80000011E-02 -0.795249820    
   2.00000014E-02 -0.793988407    
   2.20000017E-02 -0.792601645    
   2.40000021E-02 -0.791089714    
   2.60000024E-02 -0.789452851    
   2.80000027E-02 -0.787691414    
   3.00000031E-02 -0.785805523    
   3.20000015E-02 -0.783794343    
   3.40000018E-02 -0.781660557    
   3.60000022E-02 -0.779403389    
   3.80000025E-02 -0.777023137    
   4.00000028E-02 -0.774520218    
   4.20000032E-02 -0.771894991    
   4.40000035E-02 -0.769147933    
   4.60000038E-02 -0.766279399    
   4.80000041E-02 -0.763289869    
   5.00000045E-02 -0.760179818    
   5.20000048E-02 -0.756947756    
   5.40000051E-02 -0.753598094    
   5.60000055E-02 -0.750129461    
   5.80000058E-02 -0.746542394    
   6.00000061E-02 -0.742837369    
   6.20000064E-02 -0.739015162    
   6.40000030E-02 -0.735076249    
   6.59999996E-02 -0.731021225    
   6.79999962E-02 -0.726850808    
   6.99999928E-02 -0.722565651    
   7.19999894E-02 -0.718163610    
   7.39999861E-02 -0.713650942    
   7.59999827E-02 -0.709025502    
   7.79999793E-02 -0.704288125    
   7.99999759E-02 -0.699439585    
   8.19999725E-02 -0.694480598    
   8.39999691E-02 -0.689411938    
   8.59999657E-02 -0.684234381    
   8.79999623E-02 -0.678948879    
   8.99999589E-02 -0.673556089    
   9.19999555E-02 -0.668053627    
   9.39999521E-02 -0.662449002    
   9.59999487E-02 -0.656739831    
   9.79999453E-02 -0.650926828    
   9.99999419E-02 -0.645011127    
  0.101999938     -0.638993621    
  0.103999935     -0.632875144    
  0.105999932     -0.626656830    
  0.107999928     -0.620339453    
  0.109999925     -0.613924205    
  0.111999922     -0.607408047    
  0.113999918     -0.600799918    
  0.115999915     -0.594096899    
  0.117999911     -0.587300062    
  0.119999908     -0.580410540    
  0.121999905     -0.573429286    
  0.123999901     -0.566357553    
  0.125999898     -0.559196413    
  0.127999902     -0.551946998    
  0.129999906     -0.544610381    
  0.131999910     -0.537187815    
  0.133999914     -0.529675841    
  0.135999918     -0.522084713    
  0.137999922     -0.514411211    
  0.139999926     -0.506656468    
  0.141999930     -0.498821735    
  0.143999934     -0.490908206    
  0.145999938     -0.482917219    
  0.147999942     -0.474849939    
  0.149999946     -0.466707677    
  0.151999950     -0.458486736    
  0.153999954     -0.450198382    
  0.155999959     -0.441838950    
  0.157999963     -0.433409780    
  0.159999967     -0.424912125    
  0.161999971     -0.416347355    
  0.163999975     -0.407716900    
  0.165999979     -0.399022073    
  0.167999983     -0.390264213    
  0.169999987     -0.381444752    
  0.171999991     -0.372559637    
  0.173999995     -0.363621086    
  0.175999999     -0.354625136    
  0.178000003     -0.345573187    
  0.180000007     -0.336466640    
  0.182000011     -0.327306986    
  0.184000015     -0.318095684    
  0.186000019     -0.308834106    
  0.188000023     -0.299523801    
  0.190000027     -0.290166199    
  0.192000031     -0.280757040    
  0.194000036     -0.271309257    
  0.196000040     -0.261818647    
  0.198000044     -0.252286673    
  0.200000048     -0.242714897    
  0.202000052     -0.233104780    
  0.204000056     -0.223457858    
  0.206000060     -0.213775650    
  0.208000064     -0.204059705    
  0.210000068     -0.194311514    
  0.212000072     -0.184526727    
  0.214000076     -0.174718708    
  0.216000080     -0.164883122    
  0.218000084     -0.155021489    
  0.220000088     -0.145135388    
  0.222000092     -0.135226354    
  0.224000096     -0.125295982    
  0.226000100     -0.115345821    
  0.228000104     -0.105377451    
  0.230000108      -9.53863785E-02
  0.232000113      -8.53862986E-02
  0.234000117      -7.53727406E-02
  0.236000121      -6.53472766E-02
  0.238000125      -5.53115010E-02
  0.240000129      -4.52669896E-02
  0.242000133      -3.52153294E-02
  0.244000137      -2.51581110E-02
  0.246000141      -1.50969187E-02
  0.248000145      -5.03334356E-03
  0.250000149       5.03713731E-03
  0.252000153       1.51007129E-02
  0.254000157       2.51619034E-02
  0.256000161       3.52191217E-02
  0.258000165       4.52707782E-02
  0.260000169       5.53152896E-02
  0.262000173       6.53510615E-02
  0.264000177       7.53765181E-02
  0.266000181       8.53900686E-02
  0.268000185       9.53901485E-02
  0.270000190      0.105381213    
  0.272000194      0.115349583    
  0.274000198      0.125299737    
  0.276000202      0.135230094    
  0.278000206      0.145139098    
  0.280000210      0.155025214    
  0.282000214      0.164886832    
  0.284000218      0.174722418    
  0.286000222      0.184530407    
  0.288000226      0.194309279    
  0.290000230      0.204063371    
  0.292000234      0.213779300    
  0.294000238      0.223461509    
  0.296000242      0.233108416    
  0.298000246      0.242718503    
  0.300000250      0.252290279    
  0.302000254      0.261822224    
  0.304000258      0.271312833    
  0.306000262      0.280760586    
  0.308000267      0.290169716    
  0.310000271      0.299527317    
  0.312000275      0.308837622    
  0.314000279      0.318099171    
  0.316000283      0.327310443    
  0.318000287      0.336470097    
  0.320000291      0.345576584    
  0.322000295      0.354628533    
  0.324000299      0.363624483    
  0.326000303      0.372563004    
  0.328000307      0.381448090    
  0.330000311      0.390267521    
  0.332000315      0.399025351    
  0.334000319      0.407720208    
  0.336000323      0.416350603    
  0.338000327      0.424915314    
  0.340000331      0.433412910    
  0.342000335      0.441842109    
  0.344000340      0.450201541    
  0.346000344      0.458489895    
  0.348000348      0.466710776    
  0.350000352      0.474853009    
  0.352000356      0.482920229    
